Frame, Start, Duration, Pressure1, Pressure2
324, 5.32590, 20.06200, 4.00e+0, 4.013e+0
325, 5.66393, 20.06200, 4.01e+0, 4.021e+0
326, 6.00247, 20.06200, 3.99e+0, 4.013e+0
327, 6.34075, 20.06200, 4.00e+0, 4.013e+0
328, 6.67877, 20.06200, 4.00e+0, 4.016e+0
329, 7.01705, 20.06200, 4.00e+0, 4.015e+0
330, 7.35507, 20.06200, 4.00e+0, 4.014e+0
331, 7.69362, 20.06200, 4.00e+0, 4.017e+0
332, 8.03190, 20.06200, 4.00e+0, 4.017e+0
333, 8.37018, 20.04600, 4.00e+0, 4.014e+0
334, 8.70820, 20.06200, 4.00e+0, 4.013e+0
335, 9.04648, 20.06200, 4.01e+0, 4.019e+0
336, 9.38450, 20.06200, 4.00e+0, 4.016e+0
337, 9.72278, 20.06200, 4.00e+0, 4.015e+0
338, 10.06080, 20.06200, 4.00e+0, 4.014e+0
339, 10.39908, 20.06200, 4.00e+0, 4.011e+0
340, 10.73737, 20.06200, 4.01e+0, 4.016e+0
341, 11.07565, 20.06200, 4.00e+0, 4.016e+0
342, 11.41393, 20.06200, 4.01e+0, 4.019e+0
343, 11.75195, 20.06200, 4.01e+0, 4.018e+0
344, 12.09023, 20.06200, 4.01e+0, 4.020e+0
345, 12.42852, 20.04600, 4.00e+0, 4.012e+0
346, 12.76653, 20.06200, 4.00e+0, 4.013e+0
347, 13.10482, 20.04600, 4.00e+0, 4.014e+0
348, 13.44283, 20.06200, 4.00e+0, 4.016e+0
349, 13.78112, 20.04600, 4.00e+0, 4.014e+0
350, 14.11913, 20.06200, 4.00e+0, 4.014e+0
351, 14.45768, 20.06200, 4.00e+0, 4.015e+0
352, 14.79570, 20.06200, 3.99e+0, 4.015e+0
353, 15.13398, 20.06200, 4.00e+0, 4.012e+0
354, 15.47200, 20.06200, 4.00e+0, 4.013e+0
355, 15.81028, 20.06200, 4.01e+0, 4.018e+0
356, 16.14830, 20.06200, 4.01e+0, 4.015e+0
357, 16.48658, 20.06200, 4.00e+0, 4.014e+0
358, 16.82460, 20.06200, 4.01e+0, 4.019e+0
359, 17.16288, 20.06200, 4.00e+0, 4.017e+0
360, 17.50117, 20.04600, 4.00e+0, 4.015e+0
361, 17.83970, 20.06200, 4.00e+0, 4.019e+0
362, 18.17798, 20.06200, 4.00e+0, 4.016e+0
363, 18.51602, 20.06200, 4.00e+0, 4.012e+0
364, 18.85428, 20.06200, 4.01e+0, 4.013e+0
365, 19.19232, 20.06200, 4.01e+0, 4.016e+0
366, 19.53060, 20.06200, 4.01e+0, 4.016e+0
367, 19.86887, 20.04600, 4.00e+0, 4.015e+0
368, 20.20690, 20.06200, 4.00e+0, 4.018e+0
369, 20.54543, 20.06200, 4.00e+0, 4.019e+0
370, 20.88372, 20.04600, 4.00e+0, 4.015e+0
371, 21.22200, 20.06200, 4.00e+0, 4.014e+0
372, 21.56053, 20.06200, 4.01e+0, 4.014e+0
373, 21.89882, 20.06200, 4.01e+0, 4.017e+0
374, 22.23685, 20.07800, 4.00e+0, 4.019e+0
375, 22.57538, 20.06200, 4.00e+0, 4.010e+0
376, 22.91340, 20.06200, 4.00e+0, 4.011e+0
377, 23.25168, 20.06200, 4.00e+0, 4.016e+0
378, 23.58970, 20.06200, 4.01e+0, 4.017e+0
379, 23.92798, 20.06200, 4.00e+0, 4.015e+0
380, 24.26602, 20.06200, 4.01e+0, 4.018e+0
381, 24.60533, 20.04600, 4.01e+0, 4.020e+0
382, 24.94335, 20.06200, 4.00e+0, 4.013e+0
383, 25.28163, 20.06200, 4.00e+0, 4.015e+0
384, 25.61965, 20.06200, 4.00e+0, 4.020e+0
385, 25.95793, 20.06200, 3.99e+0, 4.015e+0
386, 26.29622, 20.06200, 3.99e+0, 4.010e+0
387, 26.63423, 20.06200, 4.01e+0, 4.017e+0
388, 26.97252, 20.06200, 4.00e+0, 4.014e+0
389, 27.31053, 20.06200, 3.99e+0, 4.013e+0
390, 27.64882, 20.06200, 4.00e+0, 4.016e+0
391, 27.98737, 20.06200, 4.00e+0, 4.012e+0
392, 28.32565, 20.06200, 4.00e+0, 4.016e+0
393, 28.66367, 20.06200, 4.00e+0, 4.012e+0
394, 29.00195, 20.06200, 4.00e+0, 4.018e+0
