scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
257,3,125,419.5963,0.1740,1256.5347,1255.7670,1255.7670,0.0484,100.00,411,0
258,3,1519,497.2662,0.0844,1489.7706,1488.7766,1488.7766,0.0610,100.00,15424,4787
258,3,1437,569.6256,0.1458,1705.9826,1704.8521,1704.8521,0.0709,100.00,3144,2329
258,3,601,487.2981,0.0736,1459.8505,1458.8724,1458.8724,0.0611,100.00,3185,1664
258,4,296,422.0113,0.1841,1685.1319,1684.0161,1684.0161,0.0564,264.56,1768,844
258,5,266,434.2537,0.1109,2166.6349,2165.2291,2166.2321,0.0564,19.30,1100,755
258,4,31,463.5086,0.2794,1851.2203,1850.0052,1851.0081,0.0564,100.00,1200,170
258,3,475,413.8796,0.1990,1239.3708,1238.6171,1238.6171,0.0352,10.97,665,581
258,3,431,563.3067,0.2256,1688.0146,1686.8983,1686.8983,0.1480,100.00,1084,202
258,4,216,413.5359,0.3939,1651.2051,1650.1146,1650.1146,0.1480,12.32,932,0
258,3,1,476.2753,0.1375,1426.7570,1425.8039,1425.8039,0.1480,100.00,830,40
258,5,236,545.5028,0.2112,2723.2217,2721.4748,2722.4776,0.1480,9.67,500,288
258,3,138,524.5874,0.0971,1570.7845,1569.7373,1569.7373,0.1480,100.00,542,197
258,2,383,435.2948,0.2577,869.1101,868.5751,868.5751,0.0698,3.47,491,545
259,3,5757,497.2657,0.0614,1489.7692,1488.7752,1488.7752,0.0664,100.00,25902,8570
259,3,1486,569.6256,0.1136,1705.9827,1704.8522,1704.8522,0.0925,100.00,3727,2319
259,3,1230,487.2972,0.0612,1459.8478,1458.8697,1458.8697,0.1365,100.00,4358,1906
259,4,396,463.7336,0.1624,1851.1178,1849.9025,1850.9054,0.1437,100.00,1238,209
259,4,51,422.2560,0.3610,1686.1111,1684.9951,1684.9951,0.1437,108.97,1354,792
259,3,837,563.3060,0.2810,1687.0096,1685.8933,1685.8933,0.0598,100.00,743,385
259,6,278,434.2580,0.2423,2600.1801,2598.5016,2599.5043,0.3731,12.57,662,488
259,5,334,545.4972,0.1031,2723.1938,2721.4469,2722.4497,0.0914,33.88,500,557
259,2,232,422.7325,0.0814,839.9580,839.4398,839.4398,0.0914,100.00,392,0
259,3,253,413.8690,0.1284,1239.3390,1238.5853,1238.5853,0.0914,27.69,487,204
259,2,195,435.7737,0.2045,870.0681,869.5329,869.5329,0.0914,15.17,527,56
259,3,19,524.2583,0.0949,1570.8000,1569.7530,1569.7530,0.0914,3.87,512,186
259,2,102,435.2948,0.2208,869.1101,868.5751,868.5751,0.0914,3.56,491,0
260,3,13171,497.2657,0.0560,1489.7693,1488.7753,1488.7753,0.0691,2012.51,35362,12217
260,3,2544,487.2975,0.0625,1459.8489,1458.8708,1458.8708,0.0644,100.00,5205,2086
260,3,2117,569.6268,0.1227,1705.9862,1704.8558,1704.8558,0.0650,100.00,3478,2352
260,4,893,463.7363,0.0912,1851.1283,1849.9130,1850.9159,0.0795,100.00,1392,575
260,3,196,563.3045,0.1005,1687.0049,1685.8887,1685.8887,0.0795,100.00,801,333
260,5,705,545.4898,0.0979,2723.1567,2721.4098,2722.4125,0.0640,33.96,502,516
260,2,511,436.2549,0.2368,871.0304,870.4953,870.4953,0.0505,39.16,701,99
260,2,203,422.2526,0.1963,842.9994,842.4907,842.4907,0.0505,52.42,651,329
260,1,47,502.6067,0.1997,495.8879,495.5843,495.5843,0.0505,9.56,25,0
260,2,340,435.7667,0.2275,870.0539,869.5188,869.5188,0.0751,16.33,568,56
260,1,255,503.5744,0.0682,502.8710,502.5672,502.5672,0.0751,100.00,438,172
261,3,13343,497.2665,0.0607,1489.7716,1488.7776,1488.7776,0.0685,2356.47,41406,13768
261,3,1578,487.2961,0.0583,1459.8446,1458.8665,1458.8665,0.0694,100.00,5016,1915
261,3,773,569.6263,0.1380,1705.9846,1704.8542,1704.8542,0.0786,100.00,2808,1798
261,4,624,463.7313,0.0739,1851.1084,1849.8932,1850.8961,0.0642,100.00,1522,669
261,3,41,575.6561,0.1844,1725.0889,1723.9465,1723.9465,0.0642,100.00,1005,256
261,3,136,562.9661,0.0790,1686.9926,1685.8766,1685.8766,0.0642,100.00,903,340
261,2,468,435.7659,0.2075,870.0524,869.5172,869.5172,0.2368,25.88,874,238
261,5,353,545.4898,0.0882,2723.1567,2721.4098,2722.4125,0.0870,33.96,559,514
261,5,37,545.0970,0.3741,2721.1927,2719.4460,2720.4489,0.0870,25.16,29,559
261,3,29,416.2535,0.2946,1246.4956,1245.7387,1245.7387,0.0870,100.00,709,17
261,1,108,451.7574,0.0385,443.0053,442.7300,442.7300,0.0870,100.00,384,257
261,1,472,502.6078,0.3429,501.9041,501.6005,501.6005,0.0540,5.04,441,36
262,3,12484,497.2663,0.0566,1489.7712,1488.7772,1488.7772,0.0725,4875.02,39278,13967
262,3,1668,487.2985,0.0754,1459.8517,1458.8736,1458.8736,0.0583,3576.19,4291,1476
262,3,459,569.6277,0.2361,1705.9890,1704.8585,1704.8585,0.0538,100.00,1673,904
262,2,1522,452.7489,0.1403,904.0327,903.4833,903.4833,0.0508,71.53,2550,155
262,4,390,463.7297,0.0915,1851.1021,1849.8869,1850.8898,0.1427,100.00,1211,622
262,2,121,435.7690,0.1002,870.0587,869.5235,869.5235,0.1427,92.87,1408,310
262,1,149,461.7582,0.0728,461.0278,460.7509,460.7509,0.1427,100.00,1233,0
262,3,483,416.2553,0.2619,1246.5010,1245.7441,1245.7441,0.0475,100.00,1189,17
262,3,158,575.9802,0.1297,1725.0584,1723.9158,1723.9158,0.0475,100.00,1046,201
262,2,297,447.2207,0.0223,892.9746,892.4269,892.4269,0.1975,100.00,655,119
262,5,179,545.4955,0.1612,2723.1851,2721.4382,2722.4409,0.1975,101.42,254,415
262,1,236,451.7558,0.1143,451.0238,450.7485,450.7485,0.1975,4.05,456,155
263,3,9578,497.2660,0.0490,1489.7703,1488.7763,1488.7763,0.0670,3750.91,30221,11454
263,3,889,487.6266,0.0712,1459.8335,1458.8552,1458.8552,0.0614,100.00,2645,1141
263,2,1204,452.7467,0.1211,904.0282,903.4788,903.4788,0.0555,50.02,2628,157
263,2,585,435.7672,0.0913,870.0551,869.5199,869.5199,0.0484,100.00,2065,478
263,2,487,461.7558,0.0740,922.0585,921.4971,921.4971,0.0527,127.37,1997,643
263,3,454,575.6630,0.1670,1725.1096,1723.9671,1723.9671,0.0830,100.00,1631,496
263,3,525,569.2952,0.1651,1705.9942,1704.8639,1704.8639,0.0516,100.00,1604,384
263,3,438,416.2509,0.2045,1246.4878,1245.7309,1245.7309,0.0454,100.00,1345,17
263,3,166,515.9761,0.2828,1545.9404,1544.9065,1544.9065,0.0454,9.53,870,256
263,4,269,463.7365,0.0731,1851.1294,1849.9141,1850.9170,0.0929,100.00,779,615
263,3,160,563.2902,0.1813,1686.9622,1685.8460,1685.8460,0.0929,3.06,627,344
263,2,255,470.7258,0.2067,940.0105,939.4371,939.4371,0.0929,151.10,608,223
263,3,406,608.3030,0.0844,1823.0851,1821.8871,1822.8900,0.0681,100.00,530,402
264,3,3073,497.2665,0.0580,1489.7716,1488.7776,1488.7776,0.0782,2463.04,19845,7641
264,2,967,461.7571,0.0691,922.0610,921.4996,921.4996,0.0508,218.89,3433,1207
264,2,840,435.7617,0.0736,870.0440,869.5089,869.5089,0.0519,100.00,2951,675
264,4,247,542.5715,0.3935,2166.6597,2165.2540,2166.2569,0.0519,6618.95,416,471
264,3,708,575.9869,0.0418,1725.0785,1723.9359,1723.9359,0.0988,100.00,1811,830
264,3,332,487.6251,0.0898,1459.8287,1458.8505,1458.8505,0.0473,69.78,1472,893
264,3,810,416.2508,0.2040,1246.4873,1245.7305,1245.7305,0.0426,100.00,1352,17
264,3,865,515.9723,0.2820,1545.9289,1544.8949,1544.8949,0.0683,100.00,1179,271
264,3,107,569.2961,0.1455,1705.9968,1704.8665,1704.8665,0.0683,473.56,974,270
264,2,71,483.8167,0.2299,966.2091,965.6189,965.6189,0.0683,86.85,457,22
264,2,264,470.7256,0.1358,940.0100,939.4366,939.4366,0.0509,179.08,630,262
264,2,132,483.3085,0.3008,965.1925,964.6024,964.6024,0.0509,100.00,720,177
264,2,123,447.2127,0.0496,892.9586,892.4109,892.4109,0.0509,100.00,718,116
264,3,478,562.9970,0.3221,1687.0853,1685.9693,1685.9693,0.0410,8.65,716,401
264,2,492,463.4848,0.1387,925.5171,924.9551,924.9551,0.0410,6.81,604,1
264,3,223,608.6089,0.1872,1823.0002,1821.8021,1822.8050,0.0410,11.38,938,659
265,3,1298,497.2674,0.0985,1489.7745,1488.7805,1488.7805,0.0670,100.00,10589,3859
265,2,1194,435.7603,0.0637,870.0413,869.5061,869.5061,0.0551,100.00,5250,699
265,2,1311,461.7597,0.0676,922.0663,921.5049,921.5049,0.0494,100.00,4850,1483
265,4,452,542.5641,0.1632,2166.6301,2165.2244,2166.2273,0.0944,100.00,1764,1406
265,3,1067,575.6597,0.0897,1725.0998,1723.9574,1723.9574,0.0813,124.72,2138,984
265,3,261,515.9690,0.2772,1545.9190,1544.8851,1544.8851,0.0813,100.00,1518,271
265,2,361,452.7540,0.1090,904.0428,903.4934,903.4934,0.0493,63.99,1431,56
265,3,253,608.3111,0.1878,1823.1094,1821.9114,1822.9143,0.0493,100.00,1218,879
265,2,352,483.3021,0.0599,965.1798,964.5897,964.5897,0.0520,100.00,1202,199
265,3,414,416.2479,0.1709,1246.4787,1245.7219,1245.7219,0.0691,100.00,1045,17
265,3,227,487.6222,0.1568,1460.8230,1459.8447,1459.8447,0.0691,23.84,912,343
265,2,294,502.7704,0.0960,1004.1409,1003.5263,1003.5263,0.0832,6.09,692,183
265,3,46,562.9896,0.2688,1687.0630,1685.9469,1685.9469,0.0832,45.12,688,387
265,2,106,447.2038,0.0812,892.9408,892.3930,892.3930,0.0832,100.00,681,116
265,3,215,569.2998,0.1362,1706.0078,1704.8775,1704.8775,0.0832,5.60,581,212
265,1,384,515.2393,0.0880,506.5267,506.2118,506.2118,0.0461,4.10,69,52
266,2,1780,435.7595,0.0650,870.0396,869.5045,869.5045,0.0586,100.00,6581,623
266,4,2148,542.5553,0.0732,2166.5950,2165.1893,2166.1922,0.0753,48.39,4541,2513
266,2,2093,461.7590,0.0604,922.0648,921.5034,921.5034,0.0587,100.00,5279,1770
